citacao;ocorrencias;qtd_skills;skills
LEI 9876/1999;56;14;auxilio-acidente-b94, base-aposentadoria-direito-adquirido, base-calculo-rmi-ec103, base-planejamento-previdenciario, base-precedentes-catalogo-vinculantes, base-revisao-art29-melhor-beneficio, base-revisao-atividades-concomitantes-tema1070, base-revisao-vida-toda-rvt, base-siglas-inss, base-tru-trf3-sumulas-jurisprudencia, cnis-acerto-indicadores, contribuinte-individual-in128, impugnacao-cumprimento-concomitantes, indenizacao-contribuicoes-atraso
TEMA 334/STF;55;15;base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-calculo-rmi-ec103, base-cpc-fato-superveniente-art493, base-desaposentacao-reaposentacao, base-fungibilidade-previdenciaria, base-planejamento-previdenciario, base-precedentes-catalogo-vinculantes, base-revisao-art29-melhor-beneficio, carta-servicos-inss, coisa-julgada-previdenciaria, reafirmacao-der, revisao-peticao
PORTARIA 992/2022;54;18;base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-b94-integracao-salario-beneficio-tema862, base-calculo-rmi-ec103, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-legislacao-fontes-primarias, base-pensao-por-morte-pos-reforma, base-portarias-dpmf-inss-hub, base-revisao-peticao-aprofundada, base-rubricas-pagamento-inss, base-salario-maternidade-pos-reforma, tributacao-beneficios-previdenciarios
LC 142;54;16;aposentadoria-deficiencia, base-aposentadoria-futura-pipeline, base-aposentadoria-pcd-lc142, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-legislacao-fontes-primarias, base-modelo-relatorio-medico-aposentadoria-pcd-lc142, base-pcd-conversao-tempo-especial-pcd, base-pcd-deficiencia-auditiva-visual, base-pcd-did-retroativa, base-pcd-if-bra-metodologia, base-portarias-dpmf-inss-hub, base-puil-pedilef-vedacao-materia-processual, direitos-pcd-previdenciarios, documentos-comprobatorios-in128, orientacao-cliente-pericia
TEMA 555/STF;52;20;auditoria-ppp, base-aposentadoria-especial-transicao-ec103, base-especial-agentes-biologicos, base-especial-eletricidade-periculosidade, base-especial-epi, base-especial-periculosidade-motociclista-nr16-anexov, base-especial-ppp-mudanca-layout-historico, base-especial-ruido, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-tema383-tnu-fundacentro-epi-biologicos, base-tempo-especial-conversao, base-tolueno-tema-382-tnu-via-cutanea, carta-servicos-inss, defesa-probatoria-especial, documentos-comprobatorios-in128, ponte-workflow-aposentadoria-especial, retificacao-ppp, tempo-especial-peticoes-por-rito
TEMA 1066/STF;52;21;base-aposentadoria-futura-pipeline, base-bpc-aposentadoria-pcd-procedimentos, base-cadastro-domiciliar-cadunico-in21-2026, base-contagem-reciproca-rgps-rpps, base-crps-panorama-geral, base-dano-moral-previdenciario, base-devolucao-valores-irrepetibilidade-tema979-tema1034, base-efeito-translativo-tema-1124-defesa, base-jef-previdenciario, base-meu-inss-pat-gerid-fluxo, base-ms-cabimento-direito-liquido-certo, base-ms-competencia-autoridade-coatora-inss-crps, base-ms-cumprimento-inss, base-ms-decadencia-omissao-demora, base-ms-liminar-art7-iii, base-pericia-medica-federal-telepericia, base-precedentes-catalogo-vinculantes, base-reabilitacao-profissional, base-recursos-jef, base-revisao-peticao-aprofundada, mandado-seguranca-previdenciario
MP 871/2019;50;10;auxilio-reclusao-previdenciario, base-acumulacao-beneficios-ec103-art24, base-auxilio-reclusao-pos-reforma, base-carencia-por-especie-art27a, base-legislacao-fontes-primarias, base-precedentes-catalogo-vinculantes, base-revisao-atividades-concomitantes-tema1070, base-revisao-peticao-aprofundada, pensao-por-morte, periodo-graca-qualidade-segurado
LEI 8212/1991;50;17;base-aposentadoria-regra-permanente-ec103, base-facultativo-baixa-renda, base-legislacao-fontes-primarias, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, base-rt-ajuizamento-vinculo-previdenciario, base-salario-contribuicao-limites, base-segurado-especial-autodeclaracao-arts-92-93-94, carta-servicos-inss, contribuicoes-complementacao-ec103, contribuinte-individual-in128, indenizacao-contribuicoes-atraso, pensao-por-morte, periodo-graca-qualidade-segurado, segurado-especial-rural
SUMULA 43/TNU;50;9;base-cpc-nulidades-cerceamento, base-efeito-translativo-tema-1124-defesa, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, base-recursos-jef, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, base-tru-trf3-sumulas-jurisprudencia, pedilef-cotejo-analitico-tnu
TEMA 416/STJ;47;14;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-anexo-iii-quadros, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-fungibilidade-previdenciaria, base-modelo-relatorio-medico-auxilio-acidente-b94, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-termo-inicial-dib-por-especie, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, mandado-seguranca-previdenciario, orientacao-cliente-pericia
DECRETO 6214/2007;47;20;analise-bpc-loas, auditoria-laudo-pericial, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-comprometimento-renda, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-bpc-renda-per-capita-miserabilidade, base-modelo-relatorio-medico-bpc-loas-deficiente, base-pcd-fibromialgia-lei15176, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, base-validacao-formal-laudo-medico-checklist-ab, bpc-renda-grupo-familiar, carta-servicos-inss, deficiencia-auditiva-previdenciaria, direitos-pcd-previdenciarios, orientacao-cliente-pericia
PORTARIA 34/2025;46;14;analise-bpc-loas, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-documentos-comprobatorios-in128, base-modelo-relatorio-medico-bpc-loas-deficiente, base-revisao-peticao-aprofundada, base-validacao-formal-laudo-medico-checklist-ab, bpc-renda-grupo-familiar, carta-servicos-inss, deficiencia-auditiva-previdenciaria, direitos-pcd-previdenciarios, orientacao-cliente-pericia
LEI 15326/2026;46;8;aposentadoria-professor-rgps, base-professor-direito-adquirido-ec20, base-professor-educacao-infantil-lei15326, base-professor-regra-transicao-idade-progressiva-ec103, base-professor-regra-transicao-pedagio-ec103, base-professor-regra-transicao-pontos-ec103, carta-servicos-inss, triagem-caso-novo
SUMULA 359/STF;44;8;base-acumulacao-beneficios-ec103-art24, base-aposentadoria-direito-adquirido, base-aposentadoria-transicao-ec103, base-contribuinte-em-dobro-lops-art9, base-planejamento-previdenciario, base-professor-direito-adquirido-ec20, carta-servicos-inss, precedentes-previdenciarios
TEMA 217/TNU;44;32;base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pensao-por-morte-pos-reforma, base-pensao-por-morte-uniao-estavel-pro
TEMA 1018/STJ;43;33;base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pensao-por-morte-pos-reforma, base-pensao-por-morte-uniao-estavel-pro
LEI 14768/2023;43;9;auxilio-acidente-b94, base-aposentadoria-pcd-lc142, base-modelo-relatorio-medico-aposentadoria-pcd-lc142, base-pcd-deficiencia-auditiva-visual, base-pcd-if-bra-metodologia, carta-servicos-inss, deficiencia-auditiva-previdenciaria, direitos-pcd-previdenciarios, orientacao-cliente-pericia
SUMULA 149/STJ;42;16;base-aposentadoria-direito-adquirido, base-cpc-onus-prova-art373, base-fungibilidade-previdenciaria, base-jef-trf3-manual-2025, base-pcd-did-retroativa, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, base-reclamatoria-trabalhista-prova-previdenciaria, base-rt-ajuizamento-vinculo-previdenciario, base-segurado-especial-autodeclaracao-arts-92-93-94, base-tempo-rural-anterior-1991, base-tru-trf3-sumulas-jurisprudencia, documentos-comprobatorios-in128, perspectiva-genero-previdenciario, segurado-especial-rural
PORTARIA 125/2026;42;15;admissibilidade-barreiras-crps, base-cpc-embargos-declaracao, base-crps-panorama-geral, base-legislacao-fontes-primarias, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, bpc-renda-grupo-familiar, incidentes-instrucao-crps, lei-13460-usuario-servico-publico, mandado-seguranca-previdenciario, ntep-nexo-acidentario, ponte-workflow-crps, precedentes-previdenciarios, recursos-superiores-crps, segurado-especial-rural
TEMA 862/STJ;41;10;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-calculo-rmi-ec103, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-modelo-relatorio-medico-auxilio-acidente-b94, base-precedentes-catalogo-vinculantes, carta-servicos-inss
