citacao;ocorrencias;qtd_skills;skills
SUMULA 73/TNU;14;7;aposentadoria-idade-hibrida, base-fungibilidade-previdenciaria, base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94, base-tru-trf3-sumulas-jurisprudencia, carta-servicos-inss, periodo-graca-qualidade-segurado
TEMA 422/STJ;14;4;base-pcd-conversao-tempo-especial-pcd, base-precedentes-catalogo-vinculantes, base-tempo-especial-conversao, carta-servicos-inss
SUMULA 260/TFR;14;3;base-revisao-reajuste-ortn-otn, base-revisao-teto-buraco-negro-verde, base-tru-trf3-sumulas-jurisprudencia
RESP 2103603;14;2;carta-servicos-inss, pensao-por-morte
TEMA 979/STJ;13;4;base-acumulacao-beneficios-ec103-art24, base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026, base-devolucao-valores-irrepetibilidade-tema979-tema1034
TEMA 210/TNU;13;2;base-aposentadoria-especial-transicao-ec103, base-especial-eletricidade-periculosidade
DECRETO 8145/2013;13;6;aposentadoria-deficiencia, base-aposentadoria-pcd-lc142, base-bpc-aposentadoria-pcd-procedimentos, base-pcd-conversao-tempo-especial-pcd, base-pcd-did-retroativa, base-pcd-if-bra-metodologia
TEMA 1162/STJ;13;5;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, base-precedentes-catalogo-vinculantes, carta-servicos-inss, precedentes-previdenciarios
TEMA 896/STJ;13;4;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, base-precedentes-catalogo-vinculantes, carta-servicos-inss
RE 567985;13;10;analise-bpc-loas, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-bpc-renda-per-capita-miserabilidade, base-cadastro-domiciliar-cadunico-in21-2026, base-salario-maternidade-pos-reforma, base-validacao-formal-laudo-medico-checklist-ab, bpc-renda-grupo-familiar, carta-servicos-inss
ENUNCIADO 17/CRPS;13;6;analise-bpc-loas, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-precedentes-catalogo-vinculantes, bpc-renda-grupo-familiar, carta-servicos-inss
TEMA 640/STF;13;4;base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-rito-ordinario-trf, base-tru-trf3-sumulas-jurisprudencia
TEMA 327/STF;13;5;base-cpc-acao-rescisoria-previdenciaria, base-cpc-tutela-provisoria-previdenciaria, base-puil-pedilef-vedacao-materia-processual, base-revisao-teto-buraco-negro-verde, carta-servicos-inss
TEMA 323/TNU;13;2;auditoria-ppp, base-especial-frio-camara-frigorifica
DECRETO 53831/1964;13;4;base-especial-ruido, base-legislacao-fontes-primarias, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada
DECRETO 5296/2004;13;7;auxilio-acidente-b94, base-modelo-relatorio-medico-bpc-loas-deficiente, base-pcd-deficiencia-auditiva-visual, carta-servicos-inss, deficiencia-auditiva-previdenciaria, direitos-pcd-previdenciarios, orientacao-cliente-pericia
SUMULA 269/STF;13;3;base-ms-cabimento-direito-liquido-certo, base-ms-cumprimento-inss, base-revisao-peticao-aprofundada
TEMA 374/STF;13;4;admissibilidade-barreiras-crps, base-ms-competencia-autoridade-coatora-inss-crps, base-ms-decadencia-omissao-demora, ms-competencia-autoridade-coatora
TEMA 526/STF;13;5;base-pensao-por-morte-uniao-estavel-prova, base-precedentes-catalogo-vinculantes, carta-servicos-inss, pensao-por-morte, ponte-workflow-pensao-por-morte
QO 36/TNU;13;4;base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
LEI 6423/1977;13;2;base-revisao-reajuste-ortn-otn, base-revisao-teto-buraco-negro-verde
LEI 8870/1994;13;4;base-revisao-teto-buraco-negro-verde, base-tru-trf3-sumulas-jurisprudencia, carta-servicos-inss, decadencia-revisao-previdenciaria
TEMA 348/TNU;13;5;base-segurado-especial-autodeclaracao-arts-92-93-94, base-seguro-defeso-pescador-artesanal, pensao-por-morte, periodo-graca-qualidade-segurado, segurado-especial-rural
LEI 10779/2003;13;1;base-seguro-defeso-pescador-artesanal
TEMA 1300/STF;12;3;base-acumulacao-beneficios-ec103-art24, base-precedentes-catalogo-vinculantes, precedentes-previdenciarios
ADI 7051;12;2;base-acumulacao-beneficios-ec103-art24, precedentes-previdenciarios
LEI 3807/1960;12;3;base-aluno-aprendiz, base-contribuinte-em-dobro-lops-art9, base-servico-militar-obrigatorio
TEMA 205/TNU;12;2;base-aposentadoria-especial-transicao-ec103, base-especial-agentes-biologicos
TEMA 245/TNU;12;5;base-aposentadoria-regra-permanente-ec103, base-salario-maternidade-pos-reforma, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado
TEMA 310/TNU;12;3;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, carta-servicos-inss
RESP 1112557;12;4;analise-bpc-loas, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, bpc-renda-grupo-familiar
SUMULA 34/AGU;12;3;base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026, base-devolucao-valores-irrepetibilidade-tema979-tema1034
SUMULA 45/STJ;12;2;base-cpc-apelacao-efeitos-art1013, base-fungibilidade-previdenciaria
TEMA 642/STJ;12;4;base-dano-moral-previdenciario, base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94, base-tempo-rural-anterior-1991
SUMULA 6/TNU;12;3;base-fungibilidade-previdenciaria, base-segurado-especial-autodeclaracao-arts-92-93-94, segurado-especial-rural
SUMULA 416/STJ;12;4;base-pensao-por-morte-pos-reforma, base-precedentes-catalogo-vinculantes, base-tru-trf3-sumulas-jurisprudencia, pensao-por-morte
SUMULA 31/TNU;12;2;base-reclamatoria-trabalhista-prova-previdenciaria, base-rt-ajuizamento-vinculo-previdenciario
SUMULA 203/STJ;12;2;base-recursos-jef, base-tnu-admissibilidade-manual
SUMULA 96/TCU;11;3;base-aluno-aprendiz, base-pcd-conversao-tempo-especial-pcd, carta-servicos-inss
SUMULA 18/TNU;11;3;base-aluno-aprendiz, base-precedentes-catalogo-vinculantes, carta-servicos-inss
TEMA 322/TNU;11;2;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma
TEMA 350/TNU;11;4;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-anexo-iii-quadros, base-b94-nexo-acidentario-ntep
IRDR 35;11;5;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, base-pensao-por-morte-pos-reforma, carta-servicos-inss, pensao-por-morte
PORTARIA 1087/2022;11;2;base-cnis-acerto-indicadores, cnis-acerto-indicadores
SUMULA 729/STF;11;3;base-cpc-coisa-julgada-progressiva, base-cpc-tutela-provisoria-previdenciaria, base-ms-liminar-art7-iii
TEMA 1373/STF;11;3;base-cumprimento-sentenca-rpv-precatorio, ponte-workflow-cumprimento-sentenca, tributacao-beneficios-previdenciarios
TEMA 298/TNU;11;4;auditoria-ppp, base-especial-agentes-quimicos, base-especial-epi, base-especial-vibracao
TEMA 208/TNU;11;2;base-especial-calor-nho06, base-especial-penosidade-enfermagem-petroleiro
LEI 12997/2014;11;2;base-especial-periculosidade-motociclista-nr16-anexov, carta-servicos-inss
SUMULA 77/TNU;11;7;base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pericia-medica-federal-telepericia, base-precedentes-catalogo-vinculantes, base-tnu-admissibilidade-manual, base-validacao-formal-laudo-medico-checklist-ab
TEMA 1421/STF;11;5;base-incapacidade-b31-temporaria, carta-servicos-inss, periodo-graca-qualidade-segurado, ponte-workflow-pensao-por-morte, precedentes-previdenciarios
PORTARIA 2/2014;11;4;base-modelo-relatorio-medico-bpc-loas-deficiente, base-portarias-dpmf-inss-hub, base-puil-pedilef-vedacao-materia-processual, base-validacao-formal-laudo-medico-checklist-ab
LEI 8880/1994;11;2;base-revisao-irsm-fevereiro-1994, base-tru-trf3-sumulas-jurisprudencia
LC 150/2015;11;4;auxilio-acidente-b94, base-rt-ajuizamento-vinculo-previdenciario, base-salario-familia-quota, ntep-nexo-acidentario
LC 146/2014;11;2;base-salario-maternidade-pos-reforma, carta-servicos-inss
LEI 14128/2021;11;2;base-tema383-tnu-fundacentro-epi-biologicos, lei-14128-covid-saude
QO 22/TNU;11;1;pedilef-cotejo-analitico-tnu
TEMA 185/STJ;10;5;analise-bpc-loas, base-bpc-comprometimento-renda, base-precedentes-catalogo-vinculantes, bpc-renda-grupo-familiar, precedentes-previdenciarios
SUMULA 37/TNU;10;4;base-bpc-impedimento-longo-prazo, base-pensao-por-morte-pos-reforma, base-salario-maternidade-pos-reforma, pensao-por-morte
LEI 13608/2018;10;1;base-canais-falabr-corregedoria-cgu
DECRETO 10153/2019;10;1;base-canais-falabr-corregedoria-cgu
PROC 5002980-84.2020.4.03.6183;10;4;base-canais-falabr-corregedoria-cgu, base-erro-administrativo-iea-13975, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional
TEMA 1352/STJ;10;4;base-carencia-por-especie-art27a, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado
TEMA 100/STF;10;2;base-cpc-acao-rescisoria-previdenciaria, coisa-julgada-previdenciaria
SUMULA 490/STJ;10;3;base-cpc-apelacao-efeitos-art1013, base-revisao-peticao-aprofundada, base-rito-ordinario-trf
RESP 1727063;10;3;base-cpc-fato-superveniente-art493, base-fungibilidade-previdenciaria, reafirmacao-der
LEI 11960/2009;10;3;base-cumprimento-sentenca-rpv-precatorio, base-juros-correcao-monetaria, ponte-workflow-cumprimento-sentenca
TEMA 381/STF;10;1;base-desaposentacao-reaposentacao
PEDILEF 0001717;10;3;auditoria-ppp, base-especial-ruido, tempo-especial-peticoes-por-rito
DECRETO 4882/2003;10;3;auditoria-ppp, base-especial-ruido, base-precedentes-catalogo-vinculantes
TEMA 246/TNU;10;5;base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pericia-medica-federal-telepericia, base-precedentes-catalogo-vinculantes, base-validacao-formal-laudo-medico-checklist-ab
QO 40/TNU;10;3;base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
TEMA 256/TNU;10;4;base-revisao-peticao-aprofundada, carta-servicos-inss, decadencia-revisao-previdenciaria, tema-1124-instrucao-administrativa
QO 13/TNU;10;2;base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
RE 661256;9;3;base-aposentadoria-direito-adquirido, base-desaposentacao-reaposentacao, reafirmacao-der
SUMULA 376/STJ;9;4;base-bpc-aposentadoria-pcd-procedimentos, base-ms-competencia-autoridade-coatora-inss-crps, base-notificacao-extrajudicial-mapeamento-institucional, mandado-seguranca-previdenciario
SUMULA 343/STF;9;2;base-bpc-loas-requisitos, base-cpc-acao-rescisoria-previdenciaria
LEI 14601/2023;9;2;base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026
TEMA 1070/STJ;9;5;base-calculo-rmi-ec103, base-cpc-coisa-julgada-progressiva, base-precedentes-catalogo-vinculantes, base-revisao-atividades-concomitantes-tema1070, base-rubricas-pagamento-inss
PORTARIA 997/2022;9;2;base-cnis-acerto-indicadores, cnis-acerto-indicadores
TEMA 132/TST;9;5;auditoria-ppp, base-cpc-fato-superveniente-art493, precedentes-previdenciarios, retificacao-ppp, tempo-especial-peticoes-por-rito
LEI 8906/1994;9;4;base-cpc-honorarios-sucumbencia-previdenciaria, base-honorarios-contratuais-cobranca, base-jef-trf3-manual-2025, honorarios-contrato-previdenciario
LEI 8437/1992;9;2;base-cpc-tutela-provisoria-previdenciaria, base-ms-liminar-art7-iii
PORTARIA 672/2021;9;3;base-especial-epi, base-portarias-dpmf-inss-hub, base-tema383-tnu-fundacentro-epi-biologicos
TEMA 132/STJ;9;1;base-especial-periculosidade-motociclista-nr16-anexov
ENUNCIADO 13/CRPS;9;2;base-especial-ruido, carta-servicos-inss
IN 170/2024;9;5;base-legislacao-fontes-primarias, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, documentos-comprobatorios-in128, inss-canais-atendimento
TEMA 394/STJ;9;2;base-ms-cabimento-direito-liquido-certo, base-ms-cumprimento-inss
LEI 15108/2025;9;4;base-pensao-por-morte-pos-reforma, bpc-renda-grupo-familiar, carta-servicos-inss, pensao-por-morte
TEMA 532/STJ;9;4;base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, base-tema383-tnu-fundacentro-epi-biologicos
TEMA 1291/STJ;9;5;auditoria-ppp, base-precedentes-catalogo-vinculantes, contribuinte-individual-in128, defesa-probatoria-especial, precedentes-previdenciarios
SUMULA 640/STF;9;2;base-recursos-jef, base-tnu-admissibilidade-manual
TEMA 415/STJ;9;2;base-revisao-irsm-fevereiro-1994, carta-servicos-inss
QO 54/TNU;9;3;base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
SUMULA 368/TST;9;1;base-rt-ajuizamento-vinculo-previdenciario
TEMA 362/TNU;9;2;base-tema383-tnu-fundacentro-epi-biologicos, lei-14128-covid-saude
IRDR 14;9;2;impugnacao-cumprimento-concomitantes, precedentes-previdenciarios
QO 12/TNU;9;1;pedilef-cotejo-analitico-tnu
TEMA 359/STF;8;2;base-acumulacao-beneficios-ec103-art24, precedentes-previdenciarios
IAC 11;8;4;base-aposentadoria-direito-adquirido, base-revisao-peticao-aprofundada, base-revisao-teto-buraco-negro-verde, decadencia-revisao-previdenciaria
MP 905/2019;8;3;base-aposentadoria-regra-permanente-ec103, base-incapacidade-acidentaria-b92, ntep-nexo-acidentario
DECRETO 12534;8;3;base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, bpc-renda-grupo-familiar
SUMULA 557/STJ;8;4;base-calculo-rmi-ec103, base-desaposentacao-reaposentacao, base-incapacidade-b91-permanente, base-precedentes-catalogo-vinculantes
DECRETO 9492/2018;8;1;base-canais-falabr-corregedoria-cgu
DECRETO 11529/2023;8;1;base-canais-falabr-corregedoria-cgu
DECRETO 10995/2022;8;2;base-canais-falabr-corregedoria-cgu, base-notificacao-extrajudicial-mapeamento-institucional
LEI 9796/1999;8;2;base-contagem-reciproca-rgps-rpps, base-rpps-na-otica-do-rgps
SUMULA 627/STJ;8;4;base-cumprimento-sentenca-rpv-precatorio, base-rubricas-pagamento-inss, ponte-workflow-cumprimento-sentenca, tributacao-beneficios-previdenciarios
SUMULA 473/STF;8;3;base-erro-administrativo-iea-13975, base-notificacao-extrajudicial-mapeamento-institucional, base-portarias-dpmf-inss-hub
PORTARIA 1056/2022;8;3;base-erro-administrativo-iea-13975, base-notificacao-extrajudicial-mapeamento-institucional, base-portarias-dpmf-inss-hub
RE 1171152;8;3;base-erro-administrativo-iea-13975, base-notificacao-extrajudicial-mapeamento-institucional, base-portarias-dpmf-inss-hub
PUIL 5012678;8;4;auditoria-ppp, base-especial-agentes-quimicos, base-tolueno-tema-382-tnu-via-cutanea, defesa-probatoria-especial
TEMA 297/TNU;8;3;base-especial-ppp-mudanca-layout-historico, base-reclamatoria-trabalhista-prova-previdenciaria, base-rt-ajuizamento-vinculo-previdenciario
SUMULA 14/TNU;8;3;base-fungibilidade-previdenciaria, base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94
TEMA 1360/STJ;8;5;base-incapacidade-b31-temporaria, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado, segurado-especial-rural
ADI 5760;8;2;base-pcd-conversao-tempo-especial-pcd, base-pcd-if-bra-metodologia
TEMA 45/TNU;8;3;base-pensao-por-morte-pos-reforma, base-precedentes-catalogo-vinculantes, pensao-por-morte
LC 73/1993;8;3;base-pfe-inss-anpd-dpu-conade, incidentes-instrucao-crps, recursos-superiores-crps
TEMA 376/TNU;8;5;analise-bpc-loas, aposentadoria-deficiencia, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-validacao-formal-laudo-medico-checklist-ab
PROC 1028473-09.2022.4.01.3600;8;2;base-puil-pedilef-vedacao-materia-processual, base-recursos-jef
QO 52/TNU;8;3;base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
SUMULA VINCULANTE 8;8;1;base-rt-ajuizamento-vinculo-previdenciario
ENUNCIADO 5/CRPS;8;2;carta-servicos-inss, indenizacao-contribuicoes-atraso
QO 3/TNU;8;1;pedilef-cotejo-analitico-tnu
TEMA 627/STF;7;2;base-acumulacao-beneficios-ec103-art24, precedentes-previdenciarios
PROC 2061943-13.2025.8.26.0000;7;1;base-auxilio-acidente-b94-pos-reforma
RESP 2256869;7;4;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, carta-servicos-inss, pensao-por-morte
LEI 14176/2021;7;1;base-bpc-comprometimento-renda
DECRETO 6214;7;7;base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-documentos-comprobatorios-in128, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, base-tru-trf3-sumulas-jurisprudencia, bpc-renda-grupo-familiar
DECRETO 11016/2022;7;3;analise-bpc-loas, auditoria-laudo-pericial, base-cadastro-domiciliar-cadunico-in21-2026
TEMA 365/TNU;7;4;base-carencia-por-especie-art27a, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado
SUMULA 24/AGU;7;2;base-contagem-reciproca-rgps-rpps, base-servico-militar-obrigatorio
TEMA 988/STJ;7;3;base-cpc-agravo-instrumento-art1015, base-rito-ordinario-trf, indenizacao-contribuicoes-atraso
TEMA 1076/STJ;7;1;base-cpc-honorarios-sucumbencia-previdenciaria
LEI 9494/1997;7;3;base-cumprimento-sentenca-rpv-precatorio, base-juros-correcao-monetaria, base-ms-liminar-art7-iii
SUMULA 204/STJ;7;2;base-cumprimento-sentenca-rpv-precatorio, base-juros-correcao-monetaria
SUMULA 68/TNU;7;4;base-especial-agentes-quimicos, base-especial-ruido, base-especial-vibracao, base-precedentes-catalogo-vinculantes
LEI 5811/1972;7;1;base-especial-penosidade-enfermagem-petroleiro
SUMULA 5/TNU;7;2;base-fungibilidade-previdenciaria, base-segurado-especial-autodeclaracao-arts-92-93-94
TEMA 255/TNU;7;4;base-incapacidade-b31-temporaria, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado
PORTARIA 1165/2015;7;2;base-notificacao-extrajudicial-mapeamento-institucional, base-pfe-inss-anpd-dpu-conade
TEMA 15/TNU;7;2;base-pensao-por-morte-pos-reforma, pensao-por-morte
PORTARIA 4/2025;7;3;base-pensao-por-morte-pos-reforma, carta-servicos-inss, pensao-por-morte
PORTARIA 1209/2024;7;2;base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94
PORTARIA 1299/2025;7;2;base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94
PUIL 1028473-09.2022.4.01.3600;7;2;base-puil-pedilef-vedacao-materia-processual, base-recursos-jef
RE 564354;7;3;base-revisao-teto-buraco-negro-verde, base-rubricas-pagamento-inss, carta-servicos-inss
SUMULA 8/STF;7;1;base-rt-ajuizamento-vinculo-previdenciario
LEI 9658/1998;7;1;base-rt-ajuizamento-vinculo-previdenciario
LEI 10999/2004;7;1;base-rubricas-pagamento-inss
ARESP 2819695;7;1;auxilio-reclusao-previdenciario
TEMA 1103/STJ;7;2;carta-servicos-inss, indenizacao-contribuicoes-atraso
QO 5/TNU;7;1;pedilef-cotejo-analitico-tnu
QO 32/TNU;7;1;pedilef-cotejo-analitico-tnu
LEI 3765/1960;6;1;base-acumulacao-beneficios-ec103-art24
PORTARIA 1467/2022;6;3;base-acumulacao-beneficios-ec103-art24, base-contagem-reciproca-rgps-rpps, documentos-comprobatorios-in128
DECRETO 4073/1942;6;1;base-aluno-aprendiz
LEI 9394/1996;6;4;aposentadoria-professor-rgps, base-aposentadoria-direito-adquirido, base-professor-educacao-infantil-lei15326, direitos-pcd-previdenciarios
TEMA 942/STJ;6;3;base-aposentadoria-especial-transicao-ec103, base-revisao-peticao-aprofundada, base-rpps-na-otica-do-rgps
ENUNCIADO 91/FONAJEF;6;4;base-aposentadoria-especial-transicao-ec103, base-jef-previdenciario, base-recursos-jef, defesa-probatoria-especial
TEMA 1125/STF;6;3;aposentadoria-idade-hibrida, base-aposentadoria-regra-permanente-ec103, periodo-graca-qualidade-segurado
PUIL 5000733;6;2;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma
LEI 14331/2022;6;1;base-auxilio-acidente-b94-pos-reforma
TEMA 89/STF;6;3;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, carta-servicos-inss
TEMA 173/STF;6;4;base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-precedentes-catalogo-vinculantes
TEMA 385/TNU;6;3;base-bpc-loas-requisitos, base-peticao-paragrafo-de-realidade, base-precedentes-catalogo-vinculantes
LEI 10741/2003;6;4;base-bpc-loas-requisitos, base-precedentes-catalogo-vinculantes, base-tru-trf3-sumulas-jurisprudencia, carta-servicos-inss
IN 20/2026;6;1;base-cadastro-domiciliar-cadunico-in21-2026
PROC 5000095-66.2018.4.03.6119;6;4;base-canais-falabr-corregedoria-cgu, base-erro-administrativo-iea-13975, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional
PORTARIA 1240/2024;6;5;base-cnis-acerto-indicadores, base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94, cnis-acerto-indicadores, inss-canais-atendimento
TEMA 176/STF;6;3;base-contagem-reciproca-rgps-rpps, base-rito-ordinario-trf, base-servico-militar-obrigatorio
SUMULA 81/TFR;6;1;base-contribuinte-em-dobro-lops-art9
SUMULA 387/STJ;6;1;base-dano-moral-previdenciario
TEMA 157/TNU;6;1;base-especial-agentes-quimicos
TEMA 218/TNU;6;3;base-especial-epi, carta-servicos-inss, pedilef-cotejo-analitico-tnu
SUMULA 87/TNU;6;1;base-especial-epi
SUMULA 49/TNU;6;3;base-especial-periculosidade-motociclista-nr16-anexov, base-especial-ppp-mudanca-layout-historico, base-tempo-especial-conversao
SUMULA 7/STJ;6;3;base-fungibilidade-previdenciaria, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual
TEMA 982/STJ;6;2;base-incapacidade-b91-permanente, base-precedentes-catalogo-vinculantes
LEI 7347/1985;6;1;base-mpf-pfdc-prm-defesa-segurado
SUMULA 628/STJ;6;1;base-ms-cabimento-direito-liquido-certo
SUMULA 632/STJ;6;2;base-ms-decadencia-omissao-demora, base-revisao-peticao-aprofundada
LEI 13135/2015;6;2;base-pensao-por-morte-pos-reforma, carta-servicos-inss
DECRETO 11341/2023;6;1;base-pfe-inss-anpd-dpu-conade
LC 155/2016;6;2;base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94
PORTARIA 1333/2026;6;2;base-portarias-dpmf-inss-hub, base-reabilitacao-profissional-portaria-1310-1333
TEMA 640/STJ;6;5;base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-rito-ordinario-trf, bpc-renda-grupo-familiar, precedentes-previdenciarios
PUIL 1002096-84.2021.4.01.3810;6;1;base-puil-pedilef-vedacao-materia-processual
PROC 1002096-84.2021.4.01.3810;6;1;base-puil-pedilef-vedacao-materia-processual
PROC 0001163-65.2019.4.03.9300;6;1;base-puil-pedilef-vedacao-materia-processual
TEMA 177/TNU;6;2;base-reabilitacao-profissional, carta-servicos-inss
RESP 1168657;6;2;base-revisao-irsm-fevereiro-1994, carta-servicos-inss
ENUNCIADO 8/CRPS;6;3;base-segurado-especial-autodeclaracao-arts-92-93-94, documentos-comprobatorios-in128, segurado-especial-rural
SUMULA 50/TNU;6;2;base-tempo-especial-conversao, carta-servicos-inss
SUMULA 272/STJ;6;2;base-tempo-rural-anterior-1991, carta-servicos-inss
QO 51/TNU;6;2;base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
QO 17/TNU;6;2;base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
SUMULA 9/STF;6;1;base-tolueno-tema-382-tnu-via-cutanea
LEI 15270/2025;6;2;ponte-workflow-cumprimento-sentenca, tributacao-beneficios-previdenciarios
DECRETO 4032/2001;6;1;auxilio-acidente-b94
PORTARIA 1301/2025;6;3;contribuicoes-complementacao-ec103, contribuinte-individual-in128, periodo-graca-qualidade-segurado
TEMA 195/TNU;6;2;impugnacao-cumprimento-concomitantes, precedentes-previdenciarios
LEI 3552/1959;5;1;base-aluno-aprendiz
TEMA 131/TNU;5;3;aposentadoria-idade-hibrida, base-aposentadoria-regra-permanente-ec103, carta-servicos-inss
PORTARIA 10507/2024;5;2;base-auxilio-acidente-b94-pos-reforma, base-jef-trf3-manual-2025
SUMULA 44/TNU;5;4;base-auxilio-acidente-b94-pos-reforma, base-pericia-medica-federal-telepericia, base-precedentes-catalogo-vinculantes, base-tru-trf3-sumulas-jurisprudencia
PORTARIA 3/2018;5;2;base-bpc-comprometimento-renda, bpc-renda-grupo-familiar
TEMA 73/STJ;5;2;base-bpc-renda-per-capita-miserabilidade, base-salario-maternidade-pos-reforma
PORTARIA 810/2022;5;1;base-cadastro-domiciliar-cadunico-in21-2026
LC 123/2006;5;2;base-cnis-acerto-indicadores, base-facultativo-baixa-renda
TEMA 1009/STJ;5;1;base-cpc-tutela-provisoria-previdenciaria
TEMA 660/STF;5;1;base-efeito-translativo-tema-1124-defesa
PROC 0000896-82.2018.4.01.3804;5;1;base-especial-eletricidade-periculosidade
LEI 7369/1985;5;1;base-especial-eletricidade-periculosidade
DECRETO 93412;5;1;base-especial-eletricidade-periculosidade
RESP 2152968;5;3;base-especial-ruido, defesa-probatoria-especial, tempo-especial-peticoes-por-rito
RESP 1674221;5;3;aposentadoria-idade-hibrida, base-fungibilidade-previdenciaria, base-segurado-especial-autodeclaracao-arts-92-93-94
SUMULA 41/TNU;5;2;base-fungibilidade-previdenciaria, base-segurado-especial-autodeclaracao-arts-92-93-94
SUMULA 46/TNU;5;3;base-fungibilidade-previdenciaria, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94
SUMULA 213/STJ;5;1;base-ms-cabimento-direito-liquido-certo
SUMULA 689/STF;5;2;base-ms-competencia-autoridade-coatora-inss-crps, ms-competencia-autoridade-coatora
SUMULA 212/STJ;5;1;base-ms-liminar-art7-iii
PORTARIA 996/2022;5;2;base-portarias-dpmf-inss-hub, base-revisao-peticao-aprofundada
PORTARIA 1079/2022;5;2;base-portarias-dpmf-inss-hub, base-segurado-especial-autodeclaracao-arts-92-93-94
PORTARIA 1310/2025;5;3;base-portarias-dpmf-inss-hub, base-reabilitacao-profissional-portaria-1310-1333, inss-canais-atendimento
ENUNCIADO 1/CRPS;5;3;base-precedentes-catalogo-vinculantes, bpc-renda-grupo-familiar, reafirmacao-der
TEMA 313/STF;5;2;base-precedentes-catalogo-vinculantes, decadencia-revisao-previdenciaria
TEMA 1057/STJ;5;2;base-precedentes-catalogo-vinculantes, incidentes-instrucao-crps
PROC 0521830-35.2020.4.05.8100;5;3;base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual
QO 53/TNU;5;2;base-puil-pedilef-vedacao-materia-processual, pedilef-cotejo-analitico-tnu
SUMULA 53/STF;5;1;base-rt-ajuizamento-vinculo-previdenciario
